Estado;"""#""";"""(""";""")""";"""<""";"""<=""";"""==""";""">""";""">=""";AritmExp;LogicalExp;e
->0;[];[3];[];[];[];[];[];[];[2];[];[]
1;[];[];[];[];[];[];[];[];[];[];[6]
10;[];[];[];[];[];[];[];[];[];[];[7]
11;[];[];[];[];[];[];[];[];[];[];[7]
12;[];[];[];[];[];[];[];[];[];[];[7]
13;[];[];[];[];[];[];[];[];[];[];[7]
14;[];[];[];[];[];[];[];[];[];[];[6]
2;[];[];[];[];[];[];[];[];[];[];[1]
3;[];[];[];[];[];[];[];[];[];[4];[]
4;[];[];[5];[];[];[];[];[];[];[];[]
5;[];[];[];[];[];[];[];[];[];[];[1]
*6;[13];[];[];[9];[8];[12];[10];[11];[];[];[]
7;[];[];[];[];[];[];[];[];[14];[];[]
8;[];[];[];[];[];[];[];[];[];[];[7]
9;[];[];[];[];[];[];[];[];[];[];[7]
