Estado;"""(""";""")""";""",""";""":""";""";""";"""?""";"""[""";"""]""";"""boolean""";"""character""";"""declarations""";"""end Functions""";"""endDeclararions""";"""endFunction""";"""endProgram""";"""funcType""";"""functionName""";"""functions""";"""intConst""";"""integer""";"""paramType""";"""program""";"""programName""";"""real""";"""string""";"""varType""";"""variable""";"""void""";Command;intConst
->0;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[1];[];[];[];[];[];[];[];[]
1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[2];[];[];[];[];[];[];[]
10;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
100;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
101;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
102;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
103;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
104;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
105;[];[];[];[106];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
106;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[107];[];[];[]
107;[];[120];[113];[];[97];[];[109];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
108;[];[120];[113];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
109;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[110];[];[];[];[];[];[];[];[];[];[];[]
11;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
110;[];[];[];[];[];[];[];[111];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
111;[];[120];[113];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
112;[];[120];[113];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
113;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[114];[];[];[]
114;[];[120];[113];[];[97];[];[116];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
115;[];[120];[113];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
116;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[117];[];[];[];[];[];[];[];[];[];[];[]
117;[];[];[];[];[];[];[];[118];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
118;[];[120];[113];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
119;[];[120];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
12;[];[];[];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
120;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[121];[]
121;[];[];[];[];[];[];[];[];[];[];[];[];[];[122];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
122;[];[];[];[];[124];[];[];[];[];[];[];[185];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
123;[];[];[];[];[124];[];[];[];[];[];[];[185];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
124;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[125];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
125;[];[];[];[];[];[];[];[];[130];[131];[];[];[];[];[];[];[];[];[];[128];[];[];[];[127];[129];[];[];[132];[];[]
126;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
127;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
128;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
129;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[14];[];[];[]
130;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
131;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
132;[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
133;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[134];[];[];[];[];[];[];[];[];[];[];[];[];[]
134;[135];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
135;[];[];[];[];[];[181];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[137];[];[];[];[];[];[];[];[];[]
136;[];[182];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
137;[];[];[];[];[];[];[];[];[142];[143];[];[];[];[];[];[];[];[];[];[140];[];[];[];[139];[141];[];[];[144];[];[]
138;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
139;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
14;[];[];[16];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
140;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
141;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
142;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
143;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
144;[];[];[];[145];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
145;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[146];[];[];[]
146;[];[182];[152];[];[159];[];[148];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
147;[];[182];[152];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
148;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[149];[];[];[];[];[];[];[];[];[];[];[]
