Estado;"""(""";""")""";""",""";""":""";""";""";"""?""";"""[""";"""]""";"""boolean""";"""character""";"""declarations""";"""end Functions""";"""endDeclararions""";"""endFunction""";"""endProgram""";"""funcType""";"""functionName""";"""functions""";"""intConst""";"""integer""";"""paramType""";"""program""";"""programName""";"""real""";"""string""";"""varType""";"""variable""";"""void""";Command;intConst
(10, 11, 6, 7, 8, 9);[];[];[];[(13, 16)];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(100, 101, 102, 103, 104, 105);[];[];[];[(106, 113)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(106, 113);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(107, 114)];[];[];[]
(107, 114);[];[(120, 182)];[(106, 113)];[];[97];[];[(109, 116)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(109, 116);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(110, 117)];[];[];[];[];[];[];[];[];[];[];[]
(110, 117);[];[];[];[];[];[];[];[(111, 118)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(111, 118);[];[(120, 182)];[(106, 113)];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(119, 181);[];[(120, 182)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(120, 182);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(121, 183)];[]
(121, 183);[];[];[];[];[];[];[];[];[];[];[];[];[];[(122, 184)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(122, 184);[];[];[];[];[124];[];[];[];[];[];[];[185];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(127, 128, 129, 130, 131, 132);[];[];[];[133];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(13, 16);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(14, 17)];[];[];[]
(139, 140, 141, 142, 143, 144);[];[];[];[(145, 152)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(14, 17);[];[];[(13, 16)];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(145, 152);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(146, 153)];[];[];[]
(146, 153);[];[(120, 182)];[(145, 152)];[];[159];[];[(148, 155)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(148, 155);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(149, 156)];[];[];[];[];[];[];[];[];[];[];[]
(149, 156);[];[];[];[];[];[];[];[(150, 157)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(150, 157);[];[(120, 182)];[(145, 152)];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(162, 163, 164, 165, 166, 167);[];[];[];[(168, 175)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(168, 175);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(169, 176)];[];[];[]
(169, 176);[];[(120, 182)];[(168, 175)];[];[159];[];[(171, 178)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(171, 178);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(172, 179)];[];[];[];[];[];[];[];[];[];[];[]
(172, 179);[];[];[];[];[];[];[];[(173, 180)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(173, 180);[];[(120, 182)];[(168, 175)];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(20, 26);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(21, 27)];[];[];[]
(21, 27);[];[];[];[];[];[];[(22, 28)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(22, 28);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(23, 29)]
(23, 29);[];[];[];[];[];[];[];[(24, 30)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(24, 30);[];[];[(20, 26)];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(35, 36, 37, 38, 39, 40);[];[];[];[(42, 45)];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(42, 45);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(43, 46)];[];[];[]
(43, 46);[];[];[(42, 45)];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(49, 55);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(50, 56)];[];[];[]
(50, 56);[];[];[];[];[];[];[(51, 57)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(51, 57);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(52, 58)]
(52, 58);[];[];[];[];[];[];[];[(53, 59)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(53, 59);[];[];[(49, 55)];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(65, 66, 67, 68, 69, 70);[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(77, 78, 79, 80, 81, 82);[];[];[];[(83, 90)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(83, 90);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(84, 91)];[];[];[]
(84, 91);[];[(120, 182)];[(83, 90)];[];[97];[];[(86, 93)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(86, 93);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(87, 94)];[];[];[];[];[];[];[];[];[];[];[]
(87, 94);[];[];[];[];[];[];[];[(88, 95)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(88, 95);[];[(120, 182)];[(83, 90)];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
->0;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[1];[];[];[];[];[];[];[];[]
1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[2];[];[];[];[];[];[];[]
124;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[125];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
125;[];[];[];[];[];[];[];[];[(127, 128, 129, 130, 131, 132)];[(127, 128, 129, 130, 131, 132)];[];[];[];[];[];[];[];[];[];[(127, 128, 129, 130, 131, 132)];[];[];[];[(127, 128, 129, 130, 131, 132)];[(127, 128, 129, 130, 131, 132)];[];[];[(127, 128, 129, 130, 131, 132)];[];[]
133;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[134];[];[];[];[];[];[];[];[];[];[];[];[];[]
134;[135];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
135;[];[];[];[];[];[(119, 181)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[137];[];[];[];[];[];[];[];[];[]
137;[];[];[];[];[];[];[];[];[(139, 140, 141, 142, 143, 144)];[(139, 140, 141, 142, 143, 144)];[];[];[];[];[];[];[];[];[];[(139, 140, 141, 142, 143, 144)];[];[];[];[(139, 140, 141, 142, 143, 144)];[(139, 140, 141, 142, 143, 144)];[];[];[(139, 140, 141, 142, 143, 144)];[];[]
159;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[160];[];[];[];[];[];[];[];[];[]
160;[];[];[];[];[];[];[];[];[(162, 163, 164, 165, 166, 167)];[(162, 163, 164, 165, 166, 167)];[];[];[];[];[];[];[];[];[];[(162, 163, 164, 165, 166, 167)];[];[];[];[(162, 163, 164, 165, 166, 167)];[(162, 163, 164, 165, 166, 167)];[];[];[(162, 163, 164, 165, 166, 167)];[];[]
18;[];[];[];[];[];[];[];[19];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
185;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[186];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*186;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
19;[];[];[];[(20, 26)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
2;[];[];[];[];[];[];[];[];[];[];[3];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
3;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[4];[];[];[];[]
32;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[33];[];[];[];[]
33;[];[];[];[];[];[];[];[];[(35, 36, 37, 38, 39, 40)];[(35, 36, 37, 38, 39, 40)];[];[];[];[];[];[];[];[];[];[(35, 36, 37, 38, 39, 40)];[];[];[];[(35, 36, 37, 38, 39, 40)];[(35, 36, 37, 38, 39, 40)];[];[];[(35, 36, 37, 38, 39, 40)];[];[]
4;[];[];[];[];[];[];[];[];[(10, 11, 6, 7, 8, 9)];[(10, 11, 6, 7, 8, 9)];[];[];[];[];[];[];[];[];[];[(10, 11, 6, 7, 8, 9)];[];[];[];[(10, 11, 6, 7, 8, 9)];[(10, 11, 6, 7, 8, 9)];[];[];[(10, 11, 6, 7, 8, 9)];[];[]
47;[];[];[];[];[];[];[];[48];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
48;[];[];[];[(49, 55)];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
60;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[186];[];[];[62];[];[];[];[];[];[];[];[];[];[];[];[]
62;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[63];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
63;[];[];[];[];[];[];[];[];[(65, 66, 67, 68, 69, 70)];[(65, 66, 67, 68, 69, 70)];[];[];[];[];[];[];[];[];[];[(65, 66, 67, 68, 69, 70)];[];[];[];[(65, 66, 67, 68, 69, 70)];[(65, 66, 67, 68, 69, 70)];[];[];[(65, 66, 67, 68, 69, 70)];[];[]
71;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[72];[];[];[];[];[];[];[];[];[];[];[];[];[]
