Estado;"""(""";""")""";""":""";""";""";"""[""";"""]""";"""break""";"""else""";"""endIf""";"""endWhile""";"""if""";"""intConst""";"""print""";"""return""";"""variable""";"""while""";"""{""";"""}""";AritmExp;Command;LogicalExp
(1, 4);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(2, 5)];[]
*(14, 15, 17, 26, 32, 35, 36, 6);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
(2, 5);[];[];[];[(1, 4)];[];[];[];[];[];[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[];[]
->0;[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[];[];[18];[];[16];[33];[7];[27];[(1, 4)];[];[];[];[]
10;[];[];[];[];[];[11];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
11;[];[];[12];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
12;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[(14, 15, 17, 26, 32, 35, 36, 6)]
16;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[]
18;[19];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
19;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[20]
20;[];[21];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
21;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[22];[]
22;[];[];[];[];[];[];[];[24];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[];[];[];[];[];[];[];[];[];[];[]
24;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[25];[]
25;[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[];[];[];[];[];[];[];[];[];[];[]
27;[28];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
28;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[29]
29;[];[30];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
30;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[31];[]
31;[];[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[];[];[];[];[];[];[];[];[];[]
*33;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(14, 15, 17, 26, 32, 35, 36, 6)];[];[]
7;[];[];[12];[];[9];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
9;[];[];[];[];[];[];[];[];[];[];[];[10];[];[];[];[];[];[];[];[];[]
