Estado;"""""";"""(""";""")""";"""+""";"""-""";"""/""";"""[""";"""]""";"""charConst""";"""false""";"""intConst""";"""realConst""";"""stringConst""";"""true""";"""variable""";AritmExp;e
->0;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[1]
1;[];[4];[];[];[2];[];[];[];[15];[17];[12];[13];[14];[16];[7];[];[]
10;[];[];[];[];[];[];[];[11];[];[];[];[];[];[];[];[];[]
11;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[8]
12;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
15;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
16;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
17;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[3]
18;[20];[];[];[];[];[21];[];[];[];[];[];[];[];[];[];[];[39]
19;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[22]
2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[1]
20;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[19]
21;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[19]
22;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[];[]
23;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[22]
24;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[18]
25;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[26];[]
26;[];[];[27];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
27;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
28;[];[];[];[];[];[];[30];[];[];[];[];[];[];[];[];[];[29]
29;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
3;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[18]
30;[];[];[];[];[];[];[];[];[];[];[31];[];[];[];[];[];[]
31;[];[];[];[];[];[];[];[32];[];[];[];[];[];[];[];[];[]
32;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[29]
33;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
34;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
35;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
36;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[24]
