Estado;"""""";"""(""";""")""";"""+""";"""-""";"""/""";"""[""";"""]""";"""charConst""";"""false""";"""intConst""";"""realConst""";"""stringConst""";"""true""";"""variable""";AritmExp
->0;[];[4];[];[];[2];[];[];[];[15];[17];[12];[13];[14];[16];[7];[]
1;[];[4];[];[];[2];[];[];[];[15];[17];[12];[13];[14];[16];[7];[]
10;[];[];[];[];[];[];[];[11];[];[];[];[];[];[];[];[]
*11;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*12;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*13;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*14;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*15;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*16;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*17;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*18;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
19;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[]
2;[];[4];[];[];[2];[];[];[];[15];[17];[12];[13];[14];[16];[7];[]
20;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[]
21;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[]
22;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[]
23;[];[25];[];[];[23];[];[];[];[36];[38];[33];[34];[35];[37];[28];[]
*24;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
25;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[26]
26;[];[];[27];[];[];[];[];[];[];[];[];[];[];[];[];[]
*27;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
*28;[20];[];[];[42];[41];[21];[30];[];[];[];[];[];[];[];[];[]
*29;[20];[];[];[42];[41];[21];[];[];[];[];[];[];[];[];[];[]
