Estado;"""""";"""(""";""")""";"""+""";"""-""";"""/""";"""[""";"""]""";"""charConst""";"""false""";"""intConst""";"""realConst""";"""stringConst""";"""true""";"""variable""";AritmExp
->(0, 2);[];[(25, 4)];[];[];[(0, 2)];[];[];[];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(28, 7)];[]
(10, 31);[];[];[];[];[];[];[];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[];[];[];[];[];[];[];[]
*(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6);[(20, 21, 23)];[];[];[(41, 42, 44)];[(41, 42, 44)];[(20, 21, 23)];[];[];[];[];[];[];[];[];[];[]
(20, 21, 23);[];[(25, 4)];[];[];[(20, 21, 23)];[];[];[];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[(28, 7)];[]
(25, 4);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(26, 5)]
(26, 5);[];[];[(11, 12, 13, 14, 15, 16, 17, 27, 32, 33, 34, 35, 36, 37, 38, 6)];[];[];[];[];[];[];[];[];[];[];[];[];[]
*(28, 7);[(20, 21, 23)];[];[];[(41, 42, 44)];[(41, 42, 44)];[(20, 21, 23)];[(30, 9)];[];[];[];[];[];[];[];[];[]
(30, 9);[];[];[];[];[];[];[];[];[];[];[(10, 31)];[];[];[];[];[]
(41, 42, 44);[];[(46, 67)];[];[];[(41, 42, 44)];[];[];[];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(49, 70)];[]
(46, 67);[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[(47, 68)]
(47, 68);[];[];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[];[];[];[];[];[];[];[];[];[];[];[];[]
*(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80);[(62, 63, 65)];[];[];[(41, 42, 44)];[(41, 42, 44)];[(62, 63, 65)];[];[];[];[];[];[];[];[];[];[]
*(49, 70);[(62, 63, 65)];[];[];[(41, 42, 44)];[(41, 42, 44)];[(62, 63, 65)];[(51, 72)];[];[];[];[];[];[];[];[];[]
(51, 72);[];[];[];[];[];[];[];[];[];[];[(52, 73)];[];[];[];[];[]
(52, 73);[];[];[];[];[];[];[];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[];[];[];[];[];[];[];[]
(62, 63, 65);[];[(46, 67)];[];[];[(62, 63, 65)];[];[];[];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(48, 53, 54, 55, 56, 57, 58, 59, 69, 74, 75, 76, 77, 78, 79, 80)];[(49, 70)];[]
